spolka,sekcja,nazwa_oryginalna,standard_key,znak,waga,pewnosc,zrodlo,uwagi
,RZIS,Różnice kursowe z przeliczenia jednostek działających za granicą,POMIN,1,1,PEWNE,NEU Q1 2026,sekcja innych calkowitych dochodow / EPS - poza zakresem standardu
,RZIS,Wycena aktywów finansowych wycenianych przez inne całkowite dochody,POMIN,1,1,PEWNE,NEU Q1 2026,sekcja innych calkowitych dochodow / EPS - poza zakresem standardu
,RZIS,"Pozycje, które mogą być przeniesione do wyniku, przed opodatkowaniem",POMIN,1,1,PEWNE,NEU Q1 2026,sekcja innych calkowitych dochodow / EPS - poza zakresem standardu
,RZIS,"Inne całkowite dochody, przed opodatkowaniem",POMIN,1,1,PEWNE,NEU Q1 2026,sekcja innych calkowitych dochodow / EPS - poza zakresem standardu
,RZIS,"Podatek dochodowy dotyczący składników innych całkowitych dochodów, które mogą być przeniesione do wyniku",POMIN,1,1,PEWNE,NEU Q1 2026,sekcja innych calkowitych dochodow / EPS - poza zakresem standardu
,RZIS,Inne całkowite dochody netto,POMIN,1,1,PEWNE,NEU Q1 2026,sekcja innych calkowitych dochodow / EPS - poza zakresem standardu
,RZIS,Całkowite dochody ogółem,POMIN,1,1,PEWNE,NEU Q1 2026,sekcja innych calkowitych dochodow / EPS - poza zakresem standardu
,RZIS,Całkowite dochody ogółem przypisane akcjonariuszom jednostki dominującej,POMIN,1,1,PEWNE,NEU Q1 2026,sekcja innych calkowitych dochodow / EPS - poza zakresem standardu
,RZIS,Całkowite dochody ogółem przypisane akcjonariuszom niekontrolującym,POMIN,1,1,PEWNE,NEU Q1 2026,sekcja innych calkowitych dochodow / EPS - poza zakresem standardu
,RZIS,Zysk na 1 akcję podstawowy (w PLN),POMIN,1,1,PEWNE,NEU Q1 2026,sekcja innych calkowitych dochodow / EPS - poza zakresem standardu
,RZIS,Zysk na 1 akcję rozwodniony (w PLN),POMIN,1,1,PEWNE,NEU Q1 2026,sekcja innych calkowitych dochodow / EPS - poza zakresem standardu
,RZIS,Średnia ważona rozwodniona liczba akcji zwykłych,POMIN,1,1,PEWNE,NEU Q1 2026,sekcja innych calkowitych dochodow / EPS - poza zakresem standardu
,CF,Zysk przed opodatkowaniem za rok obrotowy,POMIN,1,1,PEWNE,NEU Q1 2026,duplikat z RZiS
,CF,Korekty:,POMIN,1,1,PEWNE,NEU Q1 2026,
,CF,Zmiany w kapitale obrotowym:,POMIN,1,1,PEWNE,NEU Q1 2026,
,CF,Zyski/straty z tytułu różnic kursowych,change_in_other_assets,1,1,WYSOKA,NEU Q1 2026,korekta zbiorcza -> 'Zmiana rezerw i pozostale'
,CF,Odsetki netto,change_in_other_assets,1,1,WYSOKA,NEU Q1 2026,korekta zbiorcza -> 'Zmiana rezerw i pozostale'
,CF,Odpisy aktualizujące aktywa ujęte w wyniku finansowym,change_in_other_assets,1,1,WYSOKA,NEU Q1 2026,korekta zbiorcza -> 'Zmiana rezerw i pozostale'
,CF,Zysk z działalności inwestycyjnej,change_in_other_assets,1,1,WYSOKA,NEU Q1 2026,korekta zbiorcza -> 'Zmiana rezerw i pozostale'
,CF,Koszt programu motywacyjnego,change_in_other_assets,1,1,WYSOKA,NEU Q1 2026,korekta zbiorcza -> 'Zmiana rezerw i pozostale'
,CF,Zmiana stanu rezerw i odpisów aktualizujących zapasy i należności,change_in_other_assets,1,1,WYSOKA,NEU Q1 2026,korekta zbiorcza -> 'Zmiana rezerw i pozostale'
,CF,Udział w stratach jednostek stowarzyszonych,change_in_other_assets,1,1,WYSOKA,NEU Q1 2026,korekta zbiorcza -> 'Zmiana rezerw i pozostale'
,CF,Inne korekty,change_in_other_assets,1,1,WYSOKA,NEU Q1 2026,korekta zbiorcza -> 'Zmiana rezerw i pozostale'
,CF,Korekty z tytułu aktywów netto nabytych jednostek zależnych,change_in_other_assets,1,1,WYSOKA,NEU Q1 2026,korekta zbiorcza -> 'Zmiana rezerw i pozostale'
,CF,Zmiana stanu aktywów ubezpieczeniowych,change_in_other_assets,1,1,WYSOKA,NEU Q1 2026,korekta zbiorcza -> 'Zmiana rezerw i pozostale'
,CF,Amortyzacja,amortization,1,1,PEWNE,NEU Q1 2026,
,CF,Zmiana stanu zapasów brutto,change_in_inventories,1,1,PEWNE,NEU Q1 2026,
,CF,Zmiana stanu należności handlowych oraz pozostałych brutto,change_in_receivables,1,1,PEWNE,NEU Q1 2026,
,CF,Zmiana stanu zobowiązań handlowych oraz innych operacyjnych,change_in_payables,1,1,PEWNE,NEU Q1 2026,
,CF,Zmiana stanu zobowiązań ubezpieczeniowych,change_in_payables,1,1,WYSOKA,NEU Q1 2026,
,CF,Zmiana stanu rozliczeń z tytułu faktoringu należności,change_in_receivables,1,1,DO_WERYFIKACJI,NEU Q1 2026,faktoring - decyzja czy do naleznosci czy do dlugu
,CF,Zmiana stanu rozliczeń z tytułu faktoringu zobowiązań,change_in_payables,1,1,DO_WERYFIKACJI,NEU Q1 2026,j.w.
,CF,Zapłacony podatek dochodowy,change_in_other_assets,1,1,DO_WERYFIKACJI,NEU Q1 2026,brak klucza na podatek zaplacony w standardzie
,CF,Przepływy z działalności operacyjnej przed zmianami w kapitale obrotowym,POMIN,1,1,PEWNE,NEU Q1 2026,suma posrednia
,CF,Łącznie korekty zysku oraz zmiany kapitału obrotowego,POMIN,1,1,PEWNE,NEU Q1 2026,suma posrednia
,CF,Środki pieniężne wygenerowane w toku działalności operacyjnej,POMIN,1,1,PEWNE,NEU Q1 2026,suma posrednia (przed podatkiem)
,CF,Środki pieniężne z działalności operacyjnej (wykorzystane w działalności operacyjnej),operating_cashflow,1,1,PEWNE,NEU Q1 2026,
,CF_INW,Wydatki na nabycie wartości niematerialnych oraz rzeczowych aktywów trwałych,capex,-1,1,PEWNE,NEU Q1 2026,
,CF_INW,Wydatki na nabycie udziałów w jednostkach zależnych (pomniejszone o przejęte środki pieniężne),outflows_for_acquisitions,-1,1,PEWNE,NEU Q1 2026,
,CF_INW,Otrzymane odsetki,proceed_bank_loans,1,1,WYSOKA,NEU Q1 2026,"UWAGA: klucz nazywa sie proceed_bank_loans, ale etykieta w standardzie to 'Odsetki otrzymane'"
,CF_INW,Środki pieniężne z działalności inwestycyjnej (wykorzystane w działalności inwestycyjnej),investing_cashflow,1,1,PEWNE,NEU Q1 2026,
,CF_INW,Wpływy ze sprzedaży wartości niematerialnych oraz rzeczowych aktywów trwałych,POMIN,1,1,PEWNE,NEU Q1 2026,brak odpowiednika - zawarte w investing_cashflow
,CF_INW,Wpływy ze sprzedaży nieruchomości inwestycyjnych,POMIN,1,1,PEWNE,NEU Q1 2026,brak odpowiednika - zawarte w investing_cashflow
,CF_INW,Wpływy ze sprzedaży instrumentów kapitałowych oraz instrumentów dłużnych,POMIN,1,1,PEWNE,NEU Q1 2026,brak odpowiednika - zawarte w investing_cashflow
,CF_INW,Wydatki na nabycie instrumentów kapitałowych oraz instrumentów dłużnych,POMIN,1,1,PEWNE,NEU Q1 2026,brak odpowiednika - zawarte w investing_cashflow
,CF_INW,Pożyczki udzielone jednostkom niepowiązanym,POMIN,1,1,PEWNE,NEU Q1 2026,brak odpowiednika - zawarte w investing_cashflow
,CF_INW,Otrzymane spłaty pożyczek udzielonych od jednostek niepowiązanych,POMIN,1,1,PEWNE,NEU Q1 2026,brak odpowiednika - zawarte w investing_cashflow
,CF_FIN,Wpływy netto z tytułu emisji akcji,share_capital_cash,1,1,PEWNE,NEU Q1 2026,
,CF_FIN,Nabycie akcji własnych,change_in_bank_loans,-1,1,WYSOKA,NEU Q1 2026,UWAGA: klucz change_in_bank_loans ma w standardzie etykiete 'Skup akcji wlasnych'
,CF_FIN,Spłata zobowiązań z tytułu praw do użytkowania,lease_liab_payments,-1,1,PEWNE,NEU Q1 2026,
,CF_FIN,Odsetki zapłacone,repaid_bank_loans,-1,1,WYSOKA,NEU Q1 2026,klucz repaid_bank_loans = etykieta 'Odsetki zaplacone'
,CF_FIN,Środki pieniężne z działalności finansowej (wykorzystane w działalności finansowej),financing_cashflow,1,1,PEWNE,NEU Q1 2026,
,CF_FIN,Zmiana netto stanu środków pieniężnych i ich ekwiwalentów,net_cashflow,1,1,PEWNE,NEU Q1 2026,
,CF_FIN,Wpływy z otrzymanych dotacji,POMIN,1,1,PEWNE,NEU Q1 2026,brak odpowiednika w standardzie
,CF_FIN,Wpływy z tytułu zaciągnięcia kredytów i pożyczek,POMIN,1,1,PEWNE,NEU Q1 2026,brak odpowiednika w standardzie
,CF_FIN,Spłaty kredytów i pożyczek,POMIN,1,1,PEWNE,NEU Q1 2026,brak odpowiednika w standardzie
,CF_FIN,"Różnice kursowe otrzymane/(zapłacone) z instrumentów pochodnych ekonomicznie zabezpieczających zobowiązania finansowe, netto",POMIN,1,1,PEWNE,NEU Q1 2026,brak odpowiednika w standardzie
,CF_FIN,Pozostałe wpływy/wydatki,POMIN,1,1,PEWNE,NEU Q1 2026,brak odpowiednika w standardzie
,CF_FIN,Zmiana stanu środków pieniężnych i ich ekwiwalentów przed skutkami zmian kursów wymiany,POMIN,1,1,PEWNE,NEU Q1 2026,brak odpowiednika w standardzie
,CF_FIN,"Skutki zmian kursów wymiany, które dotyczą środków pieniężnych i ekwiwalentów środków pieniężnych",POMIN,1,1,PEWNE,NEU Q1 2026,brak odpowiednika w standardzie
,CF_FIN,Środki pieniężne i ich ekwiwalenty na początek okresu,POMIN,1,1,PEWNE,NEU Q1 2026,brak odpowiednika w standardzie
,CF_FIN,Środki pieniężne i ich ekwiwalenty na koniec okresu,POMIN,1,1,PEWNE,NEU Q1 2026,brak odpowiednika w standardzie
,CF_FIN,- o ograniczonej możliwości dysponowania,POMIN,1,1,PEWNE,NEU Q1 2026,brak odpowiednika w standardzie
,AKT_TRW,Rzeczowe aktywa trwałe,property,1,1,PEWNE,NEU Q1 2026,
,AKT_TRW,Aktywa z tytułu prawa do użytkowania,property,1,1,PEWNE,NEU Q1 2026,POTWIERDZONE wzorcem: 553250+188778=742028 = property
,AKT_TRW,Aktywa z tytułu prawa do użytkowania,right_to_use_assets,1,1,PEWNE,NEU Q1 2026,right_to_use_assets to pozycja 'w tym' - NIE sumuje sie do aktywow trwalych
,AKT_TRW,Wartość firmy,goodwill,1,1,PEWNE,NEU Q1 2026,
,AKT_TRW,Wartości niematerialne,other_intangible_assets,1,1,PEWNE,NEU Q1 2026,
,AKT_TRW,Nieruchomości inwestycyjne,noncurrent_investments,1,1,DO_WERYFIKACJI,NEU Q1 2026,alternatywa: property. Standard nie ma osobnego klucza
,AKT_TRW,Inwestycje długoterminowe w obligacje,noncurrent_investments,1,1,PEWNE,NEU Q1 2026,
,AKT_TRW,Akcje i udziały notowane,noncurrent_investments,1,1,PEWNE,NEU Q1 2026,
,AKT_TRW,Należności długoterminowe,noncurrent_receivables,1,1,PEWNE,NEU Q1 2026,
,AKT_TRW,Udzielone pożyczki,noncurrent_investments,1,1,PEWNE,NEU Q1 2026,
,AKT_TRW,Aktywa z tytułu odroczonego podatku dochodowego,other_noncurrent_assets,1,1,PEWNE,NEU Q1 2026,
,AKT_TRW,Aktywa trwałe razem,noncurrent_assets,1,1,PEWNE,NEU Q1 2026,
,AKT_OBR,Zapasy,inventory,1,1,PEWNE,NEU Q1 2026,
,AKT_OBR,Należności handlowe oraz pozostałe należności,current_receivables,1,1,PEWNE,NEU Q1 2026,
,AKT_OBR,Należności z tytułu bieżącego podatku dochodowego,current_receivables,1,1,PEWNE,NEU Q1 2026,
,AKT_OBR,Udzielone pożyczki,current_investments,1,1,PEWNE,NEU Q1 2026,
,AKT_OBR,Inne krótkoterminowe aktywa finansowe,current_investments,1,1,PEWNE,NEU Q1 2026,
,AKT_OBR,Środki pieniężne i ich ekwiwalenty,cash,1,1,PEWNE,NEU Q1 2026,
,AKT_OBR,Środki pieniężne i ich ekwiwalenty,current_investments,1,1,PEWNE,NEU Q1 2026,w standardzie inwestycje krotkoterminowe ZAWIERAJA srodki pieniezne
,AKT_OBR,Instrumenty pochodne niewyznaczone do rachunkowości zabezpieczeń,current_investments,1,1,WYSOKA,NEU Q1 2026,
,AKT_OBR,Aktywa obrotowe bez aktywów trwałych przeznaczonych do sprzedaży,POMIN,1,1,PEWNE,NEU Q1 2026,suma posrednia
,AKT_OBR,Aktywa trwałe zaklasyfikowane jako przeznaczone do sprzedaży,assets_for_sale,1,1,PEWNE,NEU Q1 2026,
,AKT_OBR,Aktywa obrotowe razem,current_assets,1,1,PEWNE,NEU Q1 2026,
,AKTYWA,Aktywa razem,total_assets,1,1,PEWNE,NEU Q1 2026,
,KAPITAL,Kapitał podstawowy,share_capital,1,1,PEWNE,NEU Q1 2026,
,KAPITAL,Akcje własne,own_share,1,1,PEWNE,NEU Q1 2026,juz ze znakiem ujemnym w raporcie - standard tez oczekuje ujemnej
,KAPITAL,Kapitał zapasowy ze sprzedaży akcji powyżej ich wartości nominalnej,reserve,1,1,PEWNE,NEU Q1 2026,
,KAPITAL,Pozostałe kapitały,kapitaly_pozostale_nierozdzielone,1,1,PEWNE,NEU Q1 2026,POTWIERDZONE wzorcem NEU.xlsx: reserve = 426890 = tylko kapital zapasowy ze sprzedazy akcji
,KAPITAL,Niepodzielony wynik finansowy i wynik finansowy roku obrotowego,retained_earnings,1,1,PEWNE,NEU Q1 2026,"POTWIERDZONE wzorcem NEU.xlsx: 768518 = CALA pozycja, bez odejmowania wyniku okresu"
,KAPITAL,Kapitały przypadające akcjonariuszom jednostki dominującej,POMIN,1,1,PEWNE,NEU Q1 2026,suma posrednia
,KAPITAL,Kapitały przypadające akcjonariuszom niekontrolującym,nonshare_capital,1,1,PEWNE,NEU Q1 2026,
,KAPITAL,Kapitał własny razem,capital,1,1,PEWNE,NEU Q1 2026,
,ZOB_DL,Zobowiązania z tytułu prawa do użytkowania,noncurrent_leasing,1,1,PEWNE,NEU Q1 2026,
,ZOB_DL,Inne zobowiązania finansowe,noncurrent_other_liabilities,1,1,PEWNE,NEU Q1 2026,"POTWIERDZONE wzorcem: noncurrent_borrowings = 0, ta pozycja idzie w inne zobowiazania"
,ZOB_DL,Zobowiązania z tytułu zakupu udziałów,noncurrent_other_liabilities,1,1,PEWNE,NEU Q1 2026,
,ZOB_DL,Rezerwy na zobowiązania z tytułu świadczeń pracowniczych,noncurrent_other_liabilities,1,1,PEWNE,NEU Q1 2026,
,ZOB_DL,Inne zobowiązania operacyjne,noncurrent_other_liabilities,1,1,PEWNE,NEU Q1 2026,
,ZOB_DL,Długoterminowe zobowiązania ubezpieczeniowe,noncurrent_other_liabilities,1,1,PEWNE,NEU Q1 2026,
,ZOB_DL,Zobowiązania długoterminowe razem,noncurrent_liabilities,1,1,PEWNE,NEU Q1 2026,
,ZOB_KR,Kredyty i pożyczki,current_borrowings,1,1,PEWNE,NEU Q1 2026,
,ZOB_KR,Zobowiązania z tytułu faktoringu należności,current_other_liabilities,1,1,PEWNE,NEU Q1 2026,POTWIERDZONE wzorcem NEU.xlsx I 2026: faktoring NIE wchodzi do current_borrowings
,ZOB_KR,Zobowiązania z tytułu prawa do użytkowania,current_leasing,1,1,PEWNE,NEU Q1 2026,
,ZOB_KR,Inne zobowiązania finansowe,current_other_liabilities,1,1,PEWNE,NEU Q1 2026,POTWIERDZONE wzorcem: current_borrowings = wylacznie linia Kredyty i pozyczki
,ZOB_KR,Zobowiązania z tytułu zakupu udziałów,current_other_liabilities,1,1,PEWNE,NEU Q1 2026,
,ZOB_KR,Zobowiązania handlowe oraz inne zobowiązania operacyjne,current_trade_payables,1,1,PEWNE,NEU Q1 2026,
,ZOB_KR,Zobowiązania z tytułu bieżącego podatku dochodowego,current_other_liabilities,1,1,PEWNE,NEU Q1 2026,
,ZOB_KR,Rezerwy na zobowiązania z tytułu świadczeń pracowniczych,current_other_liabilities,1,1,PEWNE,NEU Q1 2026,
,ZOB_KR,Instrumenty pochodne niewyznaczone do rachunkowości zabezpieczeń,current_other_liabilities,1,1,WYSOKA,NEU Q1 2026,
,ZOB_KR,Rezerwy na pozostałe zobowiązania,current_other_liabilities,1,1,PEWNE,NEU Q1 2026,
,ZOB_KR,Krótkoterminowe zobowiązania ubezpieczeniowe,current_other_liabilities,1,1,PEWNE,NEU Q1 2026,
,ZOB_KR,Zobowiązania krótkoterminowe bez zobowiązań wchodzących w skład grup przeznaczonych do sprzedaży,POMIN,1,1,PEWNE,NEU Q1 2026,suma posrednia
,ZOB_KR,Zobowiązania wchodzące w skład grup przeznaczonych do sprzedaży,current_other_liabilities,1,1,PEWNE,NEU Q1 2026,
,ZOB_KR,Zobowiązania krótkoterminowe razem,current_liabilities,1,1,PEWNE,NEU Q1 2026,
,PASYWA,Zobowiązania razem,POMIN,1,1,PEWNE,NEU Q1 2026,suma posrednia
,ZOB_KR,Zobowiązania razem,POMIN,1,1,PEWNE,NEU Q1 2026,j.w. - zaleznie od ukladu trafia do ZOB_KR albo PASYWA
,PASYWA,Pasywa razem,total_equity_liabilities,1,1,PEWNE,NEU Q1 2026,
,RZIS,Przychody z umów z klientami,revenues,1,1,PEWNE,KGH Q1 2026,
,RZIS,Koszty sprzedaży i koszty ogólnego zarządu,administrative_expenses,-1,1,DO_WERYFIKACJI,KGH Q1 2026,KGHM nie rozdziela kosztow sprzedazy i zarzadu w raporcie kwartalnym - calosc trafia w koszty zarzadu; rozbicie jest w notach
,RZIS,Zysk netto ze sprzedaży,POMIN,1,1,PEWNE,KGH Q1 2026,"to jest odpowiednik standardowego gross_profit, ale liczymy go regula z pozycji skladowych"
,RZIS,Udział w zysku wspólnego przedsięwzięcia wycenianego metodą praw własności,POMIN,1,1,PEWNE,KGH Q1 2026,skladnik sumy 'Wynik z zaangazowania we wspolne przedsiewziecie'
,RZIS,Zysk z tytułu odwrócenia utraty wartości pożyczek udzielonych wspólnemu przedsięwzięciu,POMIN,1,1,PEWNE,KGH Q1 2026,skladnik sumy jw.
,RZIS,Przychody odsetkowe od pożyczek udzielonych wspólnemu przedsięwzięciu obliczone z zastosowaniem metody efektywnej stopy procentowej,POMIN,1,1,PEWNE,KGH Q1 2026,skladnik sumy jw. - NIE idzie w przychody finansowe
,RZIS,Wynik z zaangażowania we wspólne przedsięwzięcie,other_operating_income,1,1,PEWNE,KGH Q1 2026,POTWIERDZONE wzorcem KGH.xlsx: 657+454=1111 = other_operating_income. Caly wynik z JV idzie w przychody OPERACYJNE
,RZIS,"Pozostałe przychody operacyjne, w tym:",other_operating_income,1,1,PEWNE,KGH Q1 2026,
,RZIS,pozostałe odsetki obliczone z zastosowaniem metody efektywnej stopy procentowej,POMIN,1,1,PEWNE,KGH Q1 2026,"pozycja 'w tym' - zawarta juz w wierszu nadrzednym, NIE liczyc drugi raz"
,RZIS,"Pozostałe koszty operacyjne, w tym:",other_operating_costs,-1,1,PEWNE,KGH Q1 2026,
,RZIS,straty z tytułu utraty wartości instrumentów finansowych,POMIN,1,1,PEWNE,KGH Q1 2026,pozycja 'w tym' - zawarta w wierszu nadrzednym
,RZIS,Zysk netto przypadający: akcjonariuszom Jednostki Dominującej,shareholder_net_profit,1,1,PEWNE,KGH Q1 2026,j.w. - year_profit zostaje pusty
,RZIS,Zysk netto przypadający: na udziały niekontrolujące,POMIN,1,1,PEWNE,KGH Q1 2026,
,RZIS,Średnia ważona liczba akcji zwykłych (mln szt.),share_amount,1,1000,DO_WERYFIKACJI,KGH Q1 2026,raport podaje w mln szt.; waga 1000 przy mnozniku 1000 daje sztuki. Standard chce liczby akcji na dzien bilansowy
,RZIS,Zysk na akcję podstawowy i rozwodniony (w PLN),POMIN,1,1,PEWNE,KGH Q1 2026,
,CF,Zysk przed opodatkowaniem,POMIN,1,1,PEWNE,KGH Q1 2026,duplikat z RZiS - punkt wyjscia rachunku przeplywow
,CF,Amortyzacja ujęta w wyniku finansowym,amortization,1,1,PEWNE,KGH Q1 2026,
,CF,Udział w zysku wspólnego przedsięwzięcia wycenianego metodą praw własności,change_in_other_assets,1,1,WYSOKA,KGH Q1 2026,korekta zbiorcza -> 'Zmiana rezerw i pozostale'
,CF,Odsetki od pożyczek udzielonych wspólnemu przedsięwzięciu,change_in_other_assets,1,1,WYSOKA,KGH Q1 2026,korekta zbiorcza -> 'Zmiana rezerw i pozostale'
,CF,Pozostałe odsetki,change_in_other_assets,1,1,WYSOKA,KGH Q1 2026,korekta zbiorcza -> 'Zmiana rezerw i pozostale'
,CF,Straty z tytułu utraty wartości rzeczowych aktywów trwałych i wartości niematerialnych,change_in_other_assets,1,1,WYSOKA,KGH Q1 2026,korekta zbiorcza -> 'Zmiana rezerw i pozostale'
,CF,Zysk z tytułu odwrócenia utraty wartości pożyczek udzielonych wspólnemu przedsięwzięciu,change_in_other_assets,1,1,WYSOKA,KGH Q1 2026,korekta zbiorcza -> 'Zmiana rezerw i pozostale'
,CF,Zysk ze zbycia jednostek zależnych,change_in_other_assets,1,1,WYSOKA,KGH Q1 2026,korekta zbiorcza -> 'Zmiana rezerw i pozostale'
,CF,"Różnice kursowe, z tego:",change_in_other_assets,1,1,WYSOKA,KGH Q1 2026,korekta zbiorcza -> 'Zmiana rezerw i pozostale'
,CF,"Zmiana stanu rezerw na likwidację kopalń, zobowiązań z tytułu programu przyszłych świadczeń pracowniczych oraz pozostałych rezerw",change_in_other_assets,1,1,WYSOKA,KGH Q1 2026,korekta zbiorcza -> 'Zmiana rezerw i pozostale'
,CF,Zmiana stanu pozostałych należności i zobowiązań innych niż kapitał obrotowy,change_in_other_assets,1,1,WYSOKA,KGH Q1 2026,korekta zbiorcza -> 'Zmiana rezerw i pozostale'
,CF,Zmiana stanu aktywów i zobowiązań z tytułu instrumentów pochodnych,change_in_other_assets,1,1,WYSOKA,KGH Q1 2026,korekta zbiorcza -> 'Zmiana rezerw i pozostale'
,CF,Przekwalifikowanie pozostałych całkowitych dochodów do wyniku w związku z realizacją instrumentów pochodnych zabezpieczających,change_in_other_assets,1,1,WYSOKA,KGH Q1 2026,korekta zbiorcza -> 'Zmiana rezerw i pozostale'
,CF,Pozostałe korekty,change_in_other_assets,1,1,WYSOKA,KGH Q1 2026,korekta zbiorcza -> 'Zmiana rezerw i pozostale'
,CF,z działalności inwestycyjnej i wyceny środków pieniężnych,POMIN,1,1,PEWNE,KGH Q1 2026,rozwiniecie 'z tego' pozycji Roznice kursowe
,CF,z działalności finansowej,POMIN,1,1,PEWNE,KGH Q1 2026,rozwiniecie 'z tego' pozycji Roznice kursowe
,CF,Razem wyłączenia przychodów i kosztów,POMIN,1,1,PEWNE,KGH Q1 2026,suma posrednia korekt (zawiera juz amortyzacje)
,CF,Podatek dochodowy zapłacony,change_in_other_assets,1,1,DO_WERYFIKACJI,KGH Q1 2026,brak klucza na podatek zaplacony w standardzie
,CF,"Zmiana stanu kapitału obrotowego, w tym:",change_in_wc_nierozdzielony,1,1,DO_WERYFIKACJI,KGH Q1 2026,KGHM podaje kapital obrotowy JEDNA kwota - nie da sie rozbic na zapasy/naleznosci/zobowiazania
,CF,zmiana stanu zobowiązań handlowych objętych mechanizmami faktoringu odwrotnego,POMIN,1,1,PEWNE,KGH Q1 2026,pozycja 'w tym'
,CF,Przepływy pieniężne netto z działalności operacyjnej,operating_cashflow,1,1,PEWNE,KGH Q1 2026,
,CF_INW,"Wydatki związane z aktywami górniczymi i hutniczymi, w tym:",capex,-1,1,PEWNE,KGH Q1 2026,
,CF_INW,zapłacone aktywowane odsetki od zadłużenia,POMIN,1,1,PEWNE,KGH Q1 2026,pozycja 'w tym' wewnatrz CAPEX
,CF_INW,Wydatki na pozostałe rzeczowe aktywa trwałe i wartości niematerialne,capex,-1,1,PEWNE,KGH Q1 2026,
,CF_INW,Udzielone zaliczki na rzeczowe aktywa trwałe i wartości niematerialne,POMIN,1,1,PEWNE,KGH Q1 2026,"POTWIERDZONE wzorcem KGH.xlsx: capex 1418 = 1147+271, BEZ zaliczek"
